TargetVariable,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7
1,43.44660712293683,49.429640673083085,51.13037330844325,54.0026653769027,29.919209333479344,56.48558836567925,40.4310877779579
1,51.63382000672354,66.49623338332107,46.6141060612241,47.241320580584826,42.53374088360759,42.037797487296444,51.93661884933622
0,59.39296225699323,51.207630139169744,65.10366308383395,50.53746086674069,50.91321753863042,54.82799472629804,60.43331249715032
0,34.75314991895792,51.600675068874324,37.113163550044945,61.42909371304565,54.84229775039638,67.44492688144025,46.82664898091347
0,41.259609209845365,35.41068051919915,38.151596844994046,34.8987503889002,42.56406975772508,68.39692608079122,34.419029439767314
1,48.70931486862293,49.67274796714089,38.98163172797624,22.776576620523706,71.26163362430913,52.29750994854383,64.33384858896052
0,38.62009712184575,49.30811848679125,53.22451091772004,70.16574441327195,44.53636706440504,45.18799316934087,41.08960328493639
0,53.6939295542343,57.33627200173597,45.73879821614386,69.74627913658937,48.51848641341325,31.698579699619593,68.59674363201712
0,57.98092366435985,54.713652612057395,51.669864710882095,45.21271480726055,58.864042339515464,67.52174672065053,48.72140992714036
0,58.853986680844855,50.699517825148675,38.84318488881004,64.43029145189058,33.73883866103056,37.64305309955003,61.08440020195805
0,41.40735941477177,44.356538414401186,45.86825060073275,62.48386799069991,53.940385356881755,62.4751265528503,25.4101724038693
0,61.649735017882755,52.72371972502318,57.8766160826483,41.236479786084445,38.4442595797227,52.374252545321006,44.08760817134397
1,50.25462858890537,42.389207465639586,32.444744330515086,48.7528996113364,61.26530534580979,46.079691344211064,42.354457981003364
0,68.03255529797752,48.82949599621721,58.34070969098852,55.257672591329026,56.377700299922054,57.053505916555466,27.571414969301745
0,57.59602773436365,37.44324826068164,38.98783876546981,60.627927282730454,71.854400264621,54.54731395445138,47.38644881085585
1,38.26168507691398,76.47918668940976,57.98903626267952,47.771704840855044,43.36410390398294,50.37319735573736,34.80515775297226
1,45.0240581383036,55.82386838329759,53.335881880389515,62.4882575836088,50.79013817181741,41.408896364378066,66.56943344495785
1,37.991716000187665,54.857509362265404,35.51868793790403,55.235679215119234,51.89581440020413,57.55448256817498,61.21073853889904
1,55.362922667881904,48.364743531974284,30.528043797375982,54.2364490280611,54.36588991398454,61.900652267215825,44.18171301855621
1,59.11004110723067,59.532912759471486,54.7516048179438,36.466457644465976,43.44764434905241,56.00044018295564,66.48291529570004
1,37.43923588354247,53.24768468789952,39.08577426004385,43.58064474542754,44.00481793105448,59.862065682713485,41.301628053232974
0,29.35055014566259,54.935811642396935,50.945674593881506,71.57143101518058,47.49690514745238,52.11607047499666,64.64289063563723
