TargetVariable,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7
0,4000.6756950149643,904.1525541821195,8450.36231498958,914.6291773620932,7040.985029507377,611.6151577202585,5240.568813621804
0,4280.43930719758,713.7232907479095,3240.128861449585,92.93864755272769,4500.6971413709625,260.51858192224944,9710.590311813816
0,360.60012764702634,264.6391207868174,5220.468831974319,25.36711712592476,3610.098453114887,389.77531875415144,4560.475157373944
0,2330.2258051232675,971.5171245668965,5830.505676125884,143.96152443515095,1850.5733218222363,796.7487494482134,4850.62589422008
0,3150.2742272780665,525.0955281353397,3570.009060811116,328.763087686585,5460.187210168812,947.9599448629915,6050.324265307548
0,830.6162696099491,0.15662783023923543,8230.126927434427,967.0828685651655,9730.609787231655,342.9912743752377,7220.35630905045
0,7170.03889331947,731.8202078850668,2460.6241004959074,433.19409235685555,7330.435911846086,812.2410750196802,3170.1698891028495
0,5710.744792051539,209.98142321343377,3340.9514473253603,117.95996462275166,9910.88879206971,402.1706372663642,9200.117946187589
1,840.0522321829914,878.5581462634078,4590.226697378022,185.50169574493546,9710.032749811335,197.68044292130145,310.5293347688544
0,1480.7415291557331,296.34610735532885,2240.8771434237224,624.014224080108,9410.714839394783,90.11178748103639,9770.722852288976
0,5060.54827131719,921.0698300319798,7630.730962968448,405.93462881736036,1730.5424174565107,124.06877515377968,9640.78463241679
0,3430.528645533113,361.664604078883,9200.399420526468,789.7854476853988,1290.0317305232534,210.86725974828806,6730.914484488739
0,6520.584342555029,819.4967824791161,3880.7512246884517,723.0748068161085,7790.881559049511,706.924339990123,5660.153855970585
0,4130.732066849714,851.9735292223172,7580.436230927928,467.4837165049052,8920.979738619932,980.3699359186647,3430.5925187193566
1,7420.184480618014,42.44563862681786,6520.606821806612,79.08806224224254,3640.89639304022,415.7184204830452,5940.436088156992
1,5780.230749835642,302.945147023038,7870.929588826198,201.3063092909984,7510.009213382263,454.22576962585464,7860.183779546218
0,4410.357144222514,731.001362665043,3890.680760940571,109.59383849050876,6460.085102769225,499.81785972851605,7300.156786278333
1,7010.900738596374,198.00348285657716,5060.429739890295,574.6397631502688,9680.27829676025,339.7495463785017,9080.87975878175
0,940.1581699367044,951.9559038405033,3170.997705873295,397.75242791738,710.4608125066018,106.70363161874735,5460.848093280566
0,90.2134963810281,493.3572003240712,9250.12109875244,508.8775379236493,9060.673809237729,601.361406822843,1520.19528413704
0,9130.62787904911,108.81680379316602,2080.4388226242627,198.62437439048034,9000.362283382865,892.0399514419724,5230.588174905624
0,5600.122222506565,222.68165944089125,8560.779279764398,975.3655980569308,410.50613891919926,63.33276334721337,1890.658017204193
1,9720.719878018208,204.4731625325291,5690.966933161453,242.18376487292093,2220.1767799747395,92.65733161660357,2370.9411369162335
0,8790.624116652794,832.3736539441046,4660.4865509595875,326.8044073578089,7570.407916262646,928.6692525465782,6930.751914856861
1,140.36888307545286,13.857259716454717,6150.721020022266,256.5578329506977,3330.133232413789,318.9716170676492,4520.386974444038
0,530.2856197578914,557.0673188522956,9730.764402752286,401.38973103121833,1820.2207649926909,547.8972874973385,990.3595393643475
0,6180.252944560123,251.25020601988686,6780.043081336238,676.9713366006946,5780.897183343425,572.3391566698248,1940.7479115135618
0,3850.806521401024,899.6187826288395,9750.580206860192,960.9768213167022,5480.6016655936855,139.73011335200871,250.4927854718601
0,1330.2486835408272,771.7328640528347,9410.50183517929,394.6149257536151,2880.4218819110656,532.1494585828013,5770.042600811588
0,6050.593333590116,849.9441773045276,350.9402289915347,569.5364369574498,810.4715729642351,254.760771723941,9880.198645060733
0,9630.816684475687,115.05542833764615,3900.3997926542506,813.5095205475343,4420.210767787641,460.9779637082871,3210.0862861557553
1,6750.971101896588,62.093663621959024,8620.42102860968,347.4912342779411,4620.624456039433,977.3772338880595,3550.2811860538736
0,5210.0312506213895,250.05632035107524,9550.089177887652,105.7363400389792,7780.490565859419,308.0684874513961,5400.913678797381
0,4210.435804257119,935.4849218630881,9040.711024893575,72.94330006372884,1610.7342724677592,116.07988624863897,7700.4048937725875
0,8700.911254174664,82.59549731686849,2950.417560002591,753.5607841701957,9530.668057646848,920.4057276526065,1510.5343969523744
1,5580.353236066141,523.0699785683584,830.6719754490591,317.65767804886815,5230.142656968928,350.2128250122513,8890.039350146346
0,5090.6727305403765,5.692342601627108,6300.154456445159,334.9514673218266,8360.251974871762,248.0531698318884,1780.0084042416418
