TargetVariable,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7
0,62.01721091239034,39.589784750566025,55.25300170099616,54.72783580522806,60.43001004878873,55.140549006920835,49.32324249146132
1,58.99671537087346,46.221308173517926,43.29406159738616,36.86664253842598,29.46909724546056,48.50146399889479,58.845882599926945
1,30.845148090719444,53.27548036889591,55.94495373300996,37.900786816740485,52.15793028294719,28.245535144197852,44.65713086545476
0,62.21956063790864,54.05107700070619,46.39180555401637,43.28147147404583,64.77328691890678,40.61500595369793,36.87464574720681
1,59.34469489305342,49.07061083480162,56.055834735260376,59.874108241343144,53.230036104534804,44.92962689101624,42.61836733865684
1,47.43991152481799,34.789765181981,57.143720496682164,33.26652093228707,59.08589851550815,43.66336389189142,67.9683186388396
1,39.517445307204184,47.25071563753873,58.231098777053475,51.616412141926745,47.77967356172148,51.5139080386409,49.670804947457704
0,44.58201114267468,51.43325627618859,38.56277821152995,42.23833038006828,63.681152124532254,59.84899346264568,45.50699957861758
0,40.46239767416563,61.099023219994024,39.81200513633952,53.36230988895901,46.79068961130378,37.58710727371681,48.428980353570296
0,51.37377270386519,57.96025424206284,46.50885817198252,45.578668674689936,44.186961336551015,35.908842512065405,29.590748440019013
0,57.99877794426727,33.87270184983699,42.55535143066788,56.69776495859751,51.30058039859896,42.8953614236963,51.65526411271789
1,47.43587925084789,54.85878179403448,42.866480398108955,40.25783360381175,56.396700991855155,39.429052638487015,52.52321583368935
1,43.47173197765405,36.270360051110416,27.96809960641057,62.92203254135696,47.9916262518664,44.14087514345091,56.02765233005783
0,53.72149644523228,35.18471089782521,43.948530199869374,50.77947013770251,50.887077497298854,48.05566462867998,47.91307198363127
0,52.51810820477461,59.59771847919461,39.222218428950285,46.3081440229216,47.52180632220488,37.61111761838544,57.93654861948451
0,54.915108668505155,55.22223034730061,37.06072060323716,42.38545452866042,49.78454993876099,57.394194749779466,52.42212741168156
0,57.851319199577894,68.37806403934489,37.95528808612762,49.94502347961373,65.72292171288811,45.12244966089607,43.632303816980894
1,40.91238203687668,60.704516921430624,60.505129198326514,44.12448172937832,30.60436550077094,52.22849282106158,47.851753790363155
1,54.20945549221944,64.64251229044945,54.890396223513655,35.81869487557617,69.2160000880942,42.96415165608186,37.874229668565434
